"","omega","","",""
"result.1",0.0237496595040969,0.0264946542737263,0.0268821302562756,1
"result.2",0.0246066789401501,0.0238253380675602,0.0241629240560073,2
"result.3",0.0226186429004293,0.0246458548231558,0.0249986456123921,3
"result.4",0.0205482204584567,0.0227251244616369,0.0230425144323547,4
"result.5",0.0188595774189111,0.0207687371508385,0.0210507888998919,5
"result.6",0.0179106509248236,0.0190979096419923,0.0193504071161144,6
"result.7",0.0208895444921773,0.0183135697137331,0.0185524072284906,7
"result.8",0.0198147540533159,0.0211198923006393,0.0214082306143908,8
"result.9",0.0192797739352175,0.0200520996335953,0.020321401522672,9
"result.10",0.0264539564259097,0.0194996851438347,0.0197592339332502,10
"result.11",0.0236739840916714,0.0263772090198344,0.0267624646657865,11
"result.12",0.021540506432673,0.0237507251709204,0.0240869344997989,12
"result.13",0.0198493456419085,0.0217271194474407,0.0220263877297597,13
"result.14",0.0459992712814634,0.0200862591962832,0.0203561663548655,14
"result.15",0.0419886215225202,0.0444212193773765,0.0451694574036523,15
"result.16",0.0464208777707654,0.040832254653786,0.0415052521480348,16
"result.17",0.0433711710963568,0.044833349393862,0.0455903096072134,17
"result.18",0.038451500260602,0.0420323231438076,0.0427303334795468,18
"result.19",0.045807371595791,0.0375173317184263,0.0381220421224455,19
"result.20",0.042454143925568,0.0442642825539892,0.0450092035519205,20
"result.21",0.0377394749798188,0.0411904225989517,0.0418708695936019,21
"result.22",0.0336943105518274,0.0368068245559172,0.0373970594216004,22
"result.23",0.0331728890202658,0.0331494770553533,0.0336661613369174,23
"result.24",0.0296673179183476,0.032637699093705,0.0331442259783117,24
"result.25",0.0268699001621489,0.0292880750973765,0.0297290015618401,25
"result.26",0.0260632920459506,0.0266938743131888,0.0270851217324051,26
"result.27",0.0236638156056958,0.0259654215550782,0.02634291010353,27
"result.28",0.0476845422425378,0.0239567585021874,0.0239218322953363,28
"result.29",0.0479202353695069,0.0460160352827685,0.046798115797948,29
"result.30",0.0487842530939225,0.0462363029917512,0.0470230766053206,30
"result.31",0.0512167912393883,0.0470220355212589,0.0478255869835138,31
"result.32",0.0942408145232531,0.0493364980624094,0.0501897965972447,32
"result.33",0.083449299744911,0.0873213336859706,0.0890463041995062,33
"result.34",0.0737669901347653,0.078070014546249,0.0795745423744378,34
"result.35",0.0728433909748766,0.0695190834878829,0.0708240737007273,35
"result.36",0.0851018846352569,0.0686864641192457,0.0699722596439969,36
"result.37",0.0787959464190731,0.0796008449653058,0.0811415363589205,37
"result.38",0.0696631796166652,0.0739913345334244,0.0754001509720652,38
"result.39",0.0621988512768606,0.0658398585222031,0.067060363252061,39
"result.40",0.0567140868138245,0.0590629973492085,0.0601302529491861,40
"result.41",0.0507718215553301,0.0541508396079919,0.0551090965192387,41
"result.42",0.044848659025843,0.0486578480982942,0.0494965101234683,42
"result.43",0.0398320500600573,0.0431653974654083,0.0438871601329893,43
"result.44",0.0362807523131365,0.0386417945651587,0.0392695324718133,44
"result.45",0.0319538353362347,0.0352363033096523,0.0357947527472717,45
"result.46",0.0308508987573882,0.0315455155765179,0.0320304820218027,46
"result.47",0.0273206639193801,0.0302165121806368,0.0306754637003692,47
"result.48",0.0240706959396307,0.0268415080408246,0.0272355544508613,48
"result.49",0.0229392356001952,0.0240437219985026,0.0243853430927672,49
"result.50",0.0273586144227823,0.0234350269155854,0.0237654226018051,50
"result.51",0.0313581860014525,0.027242876728117,0.0276445503254266,51
"result.52",0.0288220330399656,0.0309101725452976,0.0313826715465595,52
"result.53",0.0267679445258427,0.0285383031060817,0.0289647656034973,53
"result.54",0.030957846382523,0.0266364604474134,0.0270266203049871,54
"result.55",0.0307659318597929,0.030541291067756,0.0310065772057371,55
"result.56",0.0274727940863357,0.0303924076155013,0.0308547880128813,56
"result.57",0.0261729844489935,0.0272903426533944,0.0276929199351983,57
"result.58",0.0237389447209982,0.0260597100656028,0.0264389746078635,58
"result.59",0.0220398760115052,0.0237546805233038,0.0240909628058645,59
"result.60",0.019833682537519,0.0221220218069718,0.0224284375882107,60
"result.61",0.0180070258878626,0.0200041467074286,0.0202725993465052,61
"result.62",0.0163857979862347,0.0182373577717172,0.0184748755950963,62
"result.63",0.0181731677419241,0.0168137674525113,0.017026892508575,63
"result.64",0.0165492003103321,0.0184325339998352,0.018673434233385,64
"result.65",0.0151340062320673,0.0168572573511412,0.0170711201311704,65
"result.66",0.0150631226299357,0.0155427078986676,0.0157344908716865,66
"result.67",0.0139341578169029,0.0154112307414422,0.0156008310138347,67
"result.68",0.0139107677040257,0.0143228791283931,0.0144946003790594,68
"result.69",0.0129815424344764,0.014282140744406,0.014453199499151,69
"result.70",0.0128608686545906,0.0134078681645846,0.0135648320684467,70
"result.71",0.0124265042351288,0.0133176849428409,0.0134732086025693,71
"result.72",0.0118996754944301,0.0128419736110672,0.0129899439079324,72
"result.73",0.0131175402825698,0.0124114825540786,0.0125526826731672,73
"result.74",0.0123026345020332,0.0135191631829414,0.0136779080810143,74
"result.75",0.015966542234817,0.0127981974680509,0.0129454764469656,75
"result.76",0.0146486033550352,0.0163348067247497,0.016539839394035,76
"result.77",0.0156117282599138,0.0150508619915755,0.0152345044918505,77
"result.78",0.0148209276365946,0.0159913859407155,0.0161906533385476,78
"result.79",0.0138634402151061,0.015228094401941,0.0154146624048863,79
"result.80",0.0129408789894407,0.0142803088981864,0.0144513378747817,80
"result.81",0.0126785694174123,0.0133805772104765,0.0135371049965514,81
"result.82",0.0120930887939878,0.0131149210900574,0.0132672161775176,82
"result.83",0.0114516479026863,0.0125539155776337,0.0126973486980901,83
"result.84",0.0109650451294624,0.0118668501945294,0.0119995772624364,84
"result.85",0.0128099195675832,0.0114775942913283,0.0116043310556719,85
"result.86",0.0121799323498984,0.0132509878747058,0.0134054480554582,86
"result.87",0.0115308802541864,0.0126336009206298,0.0127782863449326,87
"result.88",0.0133245738548883,0.0120146403431889,0.0119621669055405,88
"result.89",0.0127266245014234,0.0137408283222769,0.0139031321035574,89
"result.90",0.0121819674485225,0.0131289246021637,0.0132814422344936,90
"result.91",0.0116216059556632,0.0126244332469483,0.0127689744855033,91
"result.92",0.0167772965027585,0.0121583281152411,0.0122955767698514,92
"result.93",0.0153026173085974,0.0170721706554033,0.0172896860928873,93
"result.94",0.0141921177840909,0.0156778373679813,0.0158718686565393,94
"result.95",0.013383071391194,0.0145765734839713,0.0147524315144025,95
"result.96",0.0128361741777402,0.0137963551191902,0.0139595528115635,96
"result.97",0.0125882252337244,0.0132923390103556,0.0134474583619451,97
"result.98",0.0120798138241074,0.0130462728106195,0.0131974778648996,98
"result.99",0.0120089771369227,0.0125320179402664,0.0126751073058742,99
"result.100",0.0113876760593026,0.012459146595809,0.0126010931929343,100
"result.101",0.0109326255424583,0.0118058949266882,0.0119376802803046,101
"result.102",0.0105610997210846,0.0114021152958159,0.0115276970070468,102
"result.103",0.0102802920829037,0.0110205210046175,0.0111402963206118,103
"result.104",0.0104748805039312,0.0107666435016185,0.0108825870822713,104
"result.105",0.0101588623711535,0.0109216208309348,0.0110399004443238,105
"result.106",0.010089361976633,0.0106233656993524,0.0107371581134075,106
"result.107",0.0110533513302291,0.0106256048244617,0.0107394307931301,107
"result.108",0.0105357016893532,0.0114593894247363,0.0115858474049375,108
"result.109",0.0112671844087301,0.0110689956939254,0.0111895055033031,109
"result.110",0.010703363256807,0.0116669192263643,0.0117965625708436,110
"result.111",0.0103288386161458,0.0111191067455465,0.0112403768004654,111
"result.112",0.0106977159765648,0.0108357821549632,0.0109527667142615,112
"result.113",0.0105173039502673,0.0111188356988166,0.0112401016390251,113
"result.114",0.0102755984522574,0.010971177822519,0.0110902064256138,114
"result.115",0.00994174147994473,0.0106974564970201,0.010812360278571,115
"result.116",0.0110610178584655,0.0103964156263245,0.0105068176394454,116
"result.117",0.0104717546941443,0.0114647869704569,0.0115913275941963,117
"result.118",0.0117372138360429,0.010973495454401,0.011092559109052,118
"result.119",0.0111897084059198,0.0121597684952448,0.0122970395690274,119
"result.120",0.011436483188852,0.0116871373988587,0.0118170919228291,120
"result.121",0.0110570735982006,0.011864145659267,0.0119968309155283,121
"result.122",0.01061387547027,0.0115503374013954,0.0116781893683324,122
"result.123",0.0176681841030813,0.0112106506584482,0.0113333120457852,123
"result.124",0.0166223703423822,0.0179650348464335,0.0181978483403995,124
"result.125",0.015905825370321,0.01686761255025,0.0170816510578291,125
"result.126",0.0237992679323199,0.0163310084024246,0.0165359771353408,126
"result.127",0.0218831490505973,0.0238190309368278,0.0241565005153817,127
"result.128",0.0246318533326961,0.0220380612463842,0.0223429548325171,128
"result.129",0.0224106714314622,0.0244533239640319,0.0248025362985018,129
"result.130",0.0237914219625435,0.0225267357454939,0.0228405080949088,130
"result.131",0.0227198900517992,0.0238353127293536,0.0241730828335349,131
"result.132",0.0211883675641642,0.0228169152185913,0.0231359815223513,132
"result.133",0.0191403470058734,0.021365209910492,0.021657954965157,133
"result.134",0.0175386998658277,0.0193841236387655,0.0196416405974915,134
"result.135",0.017014580163535,0.0178598783860693,0.0180908800584731,135
"result.136",0.017046222989744,0.017336300101114,0.0175583205925491,136
"result.137",0.0219365645959551,0.0173872213712158,0.0176101123858459,137
"result.138",0.0219743393087846,0.0220580409639339,0.0223632966553495,138
"result.139",0.0204944521367422,0.0220910527998583,0.0223969069566792,139
"result.140",0.0195751016508844,0.0206857207178857,0.0209662899817218,140
"result.141",0.019429790525845,0.0197980457052651,0.0200628539264827,141
"result.142",0.0229419085746889,0.0196547728871721,0.0199170530951776,142
"result.143",0.0227902992481167,0.0229950137397239,0.023317337105631,143
"result.144",0.0221580613740353,0.0228574989736856,0.0231773069474386,144
"result.145",0.0209803256708838,0.0222705323795154,0.0225796439960604,145
"result.146",0.0250446693029216,0.0211476882178587,0.0214365252275925,146
"result.147",0.0225308793827625,0.0250065150901335,0.0253660266478946,147
"result.148",0.0203215049030773,0.022641856854186,0.0229577275269648,148
"result.149",0.0183398987165399,0.0205307770540273,0.0208085832154623,149
"result.150",0.0175353402481305,0.0186272207467724,0.0188715037647498,150
"result.151",0.0170895987010356,0.0178441230328232,0.0180748534731308,151
"result.152",0.0184767451113638,0.0174473568339195,0.0176712767185236,152
"result.153",0.0174764734211235,0.0187609875794195,0.0190075999453754,153
"result.154",0.0189092336647676,0.0178045258606048,0.0180345748905992,154
"result.155",0.0186608206257681,0.0191987019657134,0.0194529649964679,155
"result.156",0.0175725587218019,0.0189610584621747,0.0192111624102651,156
"result.157",0.01600757441522,0.0179283523512836,0.0181605335128339,157
"result.158",0.0146609460183659,0.0164096769247166,0.016615970642512,158
"result.159",0.0146317699062943,0.0150859194479338,0.0152701399188899,159
"result.160",0.0138466050345992,0.0150337680167425,0.0152171288264142,160
"result.161",0.0135985333024666,0.0142955279725285,0.0144668043780953,161
"result.162",0.0133339691007304,0.0140299455732062,0.0141969142472007,162
"result.163",0.0133767102353029,0.0138022482899984,0.0139655409113928,163
"result.164",0.0128340916099671,0.0138260798292933,0.0139897564466835,164
"result.165",0.0119845806575871,0.0133023676026269,0.0134576469014931,165
"result.166",0.011337008843388,0.0124518893071652,0.0125937221955397,166
"result.167",0.0113531242471516,0.0118338590652556,0.0119660762770124,167
"result.168",0.0120119498393437,0.0118602624755866,0.011992887703137,168
"result.169",0.0122984559340605,0.0125013310763293,0.0126439389880986,169
"result.170",0.0120882615383331,0.0127587076896347,0.0129053635930561,170
"result.171",0.012236036946559,0.0125627568708282,0.0127063288307099,171
"result.172",0.0119464366610563,0.0126928572410847,0.012838475314858,172
"result.173",0.0115211480537794,0.0124084952714938,0.0125496486321666,173
"result.174",0.0109414200185612,0.0119771995542166,0.0121116348541292,174
"result.175",0.0107612003642751,0.0114151816469743,0.0115409631590992,175
"result.176",0.0102527369136398,0.0112208319739509,0.011343648301029,176
"result.177",0.0116289631908115,0.010788977414002,0.0109052570550219,177
"result.178",0.0110668490214429,0.012084812894706,0.0122209182773148,178
"result.179",0.0133403387004651,0.0116085434902757,0.0117372892142598,179
"result.180",0.0126320354739444,0.0137753457963683,0.0139382051521366,180
"result.181",0.0120188313451108,0.0130910187119397,0.013242934089412,181
"result.182",0.0164087605111155,0.0125571345778681,0.0127006182448568,182
"result.183",0.015491349279422,0.016761124669749,0.0169733573877195,183
"result.184",0.0154960100171899,0.0158876615727976,0.0160851938728186,184
"result.185",0.0186296172772677,0.0159183041933986,0.016116348780038,185
"result.186",0.0168757367561313,0.0189022664432699,0.0191513434225854,186
"result.187",0.0183122179636136,0.0172326881620606,0.0174529393463629,187
