"","V1","V2","V3","V4","V5","V6","V7"
"result.1",-0.644389539484082,0.936575449763717,0.355149462159606,-0.612016657947982,0.94001890706205,0.349460815273964,1
"result.2",-0.416214430645783,0.957519868961547,0.346274251277332,-0.423139707710263,0.958051929313798,0.363404257867003,2
"result.3",-0.886768478503102,0.91119994934448,0.390404841628161,-0.63325202336895,0.935728815425911,0.350288909483512,3
"result.4",-0.463749391056546,0.955953092648861,0.357765498681923,-0.474818534461836,0.95341833988446,0.354957167180019,4
"result.5",-0.638062699464299,0.93821547498559,0.352887248478447,-0.60854949104214,0.940325535441732,0.37363227588971,5
"result.6",-0.504696245200271,0.949055365399652,0.341327163161536,-0.54706576287371,0.945232672771446,0.362159994165033,6
"result.7",-0.482801236290534,0.95030160626398,0.365726924920781,-0.488605828132942,0.950530234908541,0.377469869709391,7
"result.8",-0.364277458918446,0.962714402465353,0.334610534094339,-0.439491036280602,0.95561162523621,0.35925980739178,8
"result.9",-0.24687739166178,0.974887543911646,0.26078641613922,-0.453018294425333,0.955173669916001,0.320022100076166,9
"result.10",-0.876616210687693,0.913490729889406,0.507245450632885,-0.702068418796211,0.929464732315275,0.421406925912238,10
"result.11",-0.5559972829671,0.944355700891099,0.37169901394339,-0.547200204316337,0.945202599638514,0.355925424122702,11
"result.12",-0.45854459561065,0.954501691668075,0.316537505239517,-0.387722725988863,0.961684424269504,0.323631690391572,12
"result.13",-0.64012653715259,0.937790570201971,0.333854417244364,-0.65349538507066,0.935605745346355,0.354988681612867,13
"result.14",-1.01057513534044,0.898838714039986,0.395299034306582,-0.832588145939137,0.917826732852468,0.382890576580342,14
"result.15",-0.586205108438782,0.940375004232599,0.349977331648725,-0.604171812903021,0.93926746191121,0.349212332123782,15
"result.16",-0.672536237735396,0.931854575432096,0.421956372201646,-0.618980444616118,0.937967272583453,0.383242594553731,16
"result.17",-0.503748463892987,0.948815451167953,0.324162162711726,-0.559392577886127,0.943269827844342,0.345665564979968,17
"result.18",-0.586022623592783,0.941235551144309,0.375670373159832,-0.628976492809445,0.937166521613486,0.389676221207933,18
"result.19",-0.42106112718976,0.958455083769743,0.336202222746962,-0.517386063830574,0.94877917539644,0.336416959031058,19
"result.20",-0.330927179762976,0.9674594969708,0.346128072925574,-0.387604943884534,0.961809704289861,0.363959741037156,20
"result.21",-0.44341566265928,0.955712068477626,0.294559030586262,-0.459266822975436,0.953328645871676,0.329135120590861,21
"result.22",-0.334069036326728,0.966225171877732,0.36446648934126,-0.391518417212592,0.962044548393252,0.372109025881033,22
"result.23",-0.320775058145692,0.966692986920632,0.337141952075428,-0.433036198277964,0.957185400774571,0.358485882973691,23
"result.24",-0.796310610703679,0.918647972039439,0.389956077479042,-0.65739443873729,0.933209110041714,0.401378086391053,24
"result.25",-0.621020004317523,0.937361515837068,0.379808360878434,-0.606531789360196,0.939380399514767,0.353319438260331,25
"result.26",-0.491711884930528,0.948910301723356,0.337584737888809,-0.502132183289928,0.948003878489323,0.349114021396076,26
"result.27",-0.38642432338093,0.962587911123729,0.349325382914521,-0.398791659189245,0.960473819336854,0.363937155001338,27
"result.28",-0.670106823918296,0.933031190380818,0.38466910429767,-0.514598517975154,0.949251769597675,0.32191968965176,28
"result.29",-0.522248012812739,0.948225022407091,0.322373623745178,-0.570701726353471,0.943516816764606,0.361573795654877,29
"result.30",-0.560566289761287,0.94317172013508,0.339917892237929,-0.676815105261585,0.932003815880844,0.355683836923891,30
"result.31",-0.611577697280293,0.938858910257288,0.366357955103765,-0.665106005380724,0.933322709134635,0.375887939227811,31
"result.32",-0.420975126937071,0.956528550947238,0.344979558958679,-0.600163183191356,0.939732886434686,0.373986712873754,32
"result.33",-0.413048474459593,0.959739834089936,0.328827262015367,-0.474502703039123,0.954812727958609,0.329208410935017,33
"result.34",-0.490851973431518,0.950875866692211,0.374224600330731,-0.597709505603818,0.940154619933703,0.376740010682653,34
"result.35",-0.709162788450554,0.929661164920182,0.393141076029217,-0.622398600295805,0.938009840603544,0.377250762173142,35
"result.36",-0.586316878389535,0.941712190468069,0.368672916603826,-0.455804863810686,0.955367600138152,0.346111874438876,36
"result.37",-0.271277192180441,0.973819902787106,0.292520180176861,-0.328755284435826,0.967000906247337,0.306296578008685,37
"result.38",-0.580543600877097,0.941100861933337,0.330033047210995,-0.55216768451333,0.94278964550437,0.354575787334391,38
"result.39",-0.214190101833065,0.980990899542837,0.351141791204216,-0.517201842271733,0.948763318244092,0.388279841588883,39
"result.40",-0.381183716782723,0.960198397462209,0.295200247968575,-0.476918860642587,0.95112849895008,0.327410554091497,40
"result.41",-0.772520913566867,0.92382415251696,0.415605695327728,-0.639396279869528,0.935749075148634,0.376451445876735,41
"result.42",-0.348239711698393,0.967183627620374,0.362457918860464,-0.436636591065462,0.956662628797554,0.382837225741352,42
"result.43",-0.395600398007016,0.959132993848599,0.346279786799097,-0.42459188608302,0.95745288434321,0.356197263580857,43
"result.44",-0.185042866353342,0.981148640163935,0.233835513019719,-0.24808912110014,0.975230352165425,0.267363602921078,44
"result.45",-0.494951173348001,0.950044932880279,0.342871136745133,-0.52997963514848,0.946447387156615,0.368044230170167,45
"result.46",-0.460536112770153,0.95497746942944,0.317050740832142,-0.532868145191525,0.946769083754629,0.323767197118256,46
"result.47",-0.74205685771164,0.926743824375071,0.447645860608073,-0.564192674573219,0.943275425519369,0.420509888957083,47
"result.48",-0.440819436179534,0.955032190360212,0.355790326554111,-0.483379809610308,0.950823854265293,0.354426363838605,48
"result.49",-0.597717388137533,0.940110718779263,0.357327566124748,-0.540136540000218,0.945464700354589,0.381059622306689,49
"result.50",-0.670225605925734,0.933093318958598,0.362038401844717,-0.598430238677612,0.940512119203289,0.389432900920041,50
"result.51",-0.641178595750817,0.939266683702825,0.432333805253016,-0.635845940894297,0.937987903565462,0.425851471246088,51
"result.52",-0.615365163521421,0.936806282305003,0.339985349363424,-0.674584221348716,0.930399046027087,0.373826048655249,52
"result.53",-0.603633209594017,0.940376304087428,0.362375730318329,-0.576300258306767,0.942166159256292,0.365244280387355,53
"result.54",-0.306123302578097,0.971297483216386,0.331594276484569,-0.411129619840003,0.959515852421649,0.330445179997224,54
"result.55",-0.381380793789794,0.960934479464434,0.310346872167877,-0.46181094815818,0.954159418228349,0.326482848814131,55
"result.56",-0.389599332471585,0.958589027482205,0.332485660422231,-0.524766498251078,0.946157217251512,0.38634449291154,56
"result.57",-0.462283775571369,0.954523883976755,0.371867481015687,-0.479767677921237,0.951941171846794,0.358351555174604,57
"result.58",-0.416292665753095,0.958690470732436,0.305032498074121,-0.555832724443978,0.945464360055132,0.365024941896018,58
"result.59",-0.37708871430913,0.963580941215256,0.333185572378638,-0.489058010095503,0.952681503045939,0.361068961678111,59
"result.60",-0.485694591395306,0.951261290938503,0.344097634517657,-0.573528199125263,0.943788396656716,0.385231643622407,60
"result.61",-0.229581647270716,0.978719938026125,0.345663076795138,-0.41814223160551,0.957528833306922,0.35510956525355,61
"result.62",-0.338878583585536,0.964575777262163,0.31811847975552,-0.445260422255759,0.955344919625485,0.33811779221588,62
"result.63",-0.680173344112297,0.931826978667231,0.376988564051036,-0.59224572704072,0.940661012557849,0.380406264700244,63
"result.64",-0.504849922072298,0.94965334990807,0.339037870175113,-0.507638828639846,0.948737442466696,0.336562810353156,64
"result.65",-0.565367165763236,0.943600920350046,0.341808567751233,-0.537894844231674,0.946182083986258,0.344515700574736,65
"result.66",-0.629132969900409,0.937632062045882,0.38610454246917,-0.61801825267748,0.940007046334039,0.379979432406017,66
"result.67",-0.44794995223792,0.954798194987219,0.322545882540938,-0.506008319194267,0.950119685923276,0.324541862113284,67
"result.68",-0.273230120277075,0.971490255119827,0.264862360674693,-0.343345041901581,0.965535683747718,0.293665943577474,68
"result.69",-0.384710208456406,0.962885802044535,0.261229678577675,-0.446761484161514,0.957028490514622,0.319566524045128,69
"result.70",-0.414468130607169,0.959651124289965,0.32711735787151,-0.50485954090524,0.949712697078524,0.361303699303367,70
"result.71",-0.476589971688398,0.951661536324343,0.351446775497205,-0.493668320509655,0.95009656485226,0.354097104782272,71
"result.72",-0.382495498272509,0.962321599143783,0.316810399980321,-0.502299247184958,0.95041487261428,0.366382784696692,72
"result.73",-0.380989430508615,0.961738933862172,0.325797095887294,-0.429357131108196,0.956840492173091,0.347918311871226,73
"result.74",-0.466306347593271,0.951826356235631,0.335909415593327,-0.588756091406967,0.94093870276536,0.381172582386681,74
"result.75",-0.629849358826331,0.93982009166393,0.366245516732835,-0.551782471825671,0.946615691101373,0.382103306731581,75
"result.76",-0.577716163820596,0.942717173047695,0.375108253107109,-0.691837732626797,0.930300612652341,0.388294243393653,76
"result.77",-0.384691585724098,0.961977715339811,0.307191995794255,-0.39102807910438,0.960909126746339,0.31744307075298,77
"result.78",-0.587832766315398,0.942027588812594,0.364543758376836,-0.557482778138469,0.945179356060211,0.356681875617886,78
"result.79",-0.796376735889969,0.921275370001066,0.346233780681275,-0.630216416398444,0.937584118144206,0.341973025071439,79
"result.80",-0.631339153621211,0.935660978895968,0.347295555352231,-0.741090492027803,0.924226936068767,0.385051189140654,80
"result.81",-0.694861264037362,0.930968884964039,0.411825883559701,-0.667081626184565,0.933101240542017,0.428523826847352,81
"result.82",-0.450770660452302,0.955040317572533,0.386322659965575,-0.45134699777694,0.955094871269568,0.359545152521838,82
"result.83",-0.584641246116953,0.943337681288319,0.398777287749816,-0.564865608473643,0.943576847802645,0.382255178182625,83
"result.84",-0.339029398991755,0.965557183373778,0.284164789374244,-0.398741550494603,0.960297844954583,0.287388452214703,84
"result.85",-0.266755484658278,0.974585853515617,0.349981114358274,-0.334462196134616,0.967125907213739,0.351765074752484,85
"result.86",-0.446969144272647,0.955861679626199,0.344580232825336,-0.458518998288134,0.954034282091846,0.338345646454499,86
"result.87",-0.586759321757674,0.941189934671456,0.417857633734795,-0.620001829081509,0.937439880979025,0.406571928793892,87
"result.88",-0.546696019788018,0.944744757841022,0.347794238365474,-0.648804272640751,0.934762363967441,0.367840998483223,88
"result.89",-0.340695875519869,0.966245432376101,0.323943001124827,-0.411210846762786,0.959786758177606,0.351217795725525,89
"result.90",-0.0769084958423165,0.990099008332524,0.316192953711568,-0.371523762683696,0.962643922306145,0.341599788519523,90
"result.91",-0.521604001851455,0.946592764562017,0.321931146547897,-0.635606729748375,0.93530477477562,0.341390958430313,91
"result.92",-0.640947908187456,0.936827815595055,0.350884285479332,-0.699783143202551,0.931455241676002,0.369956978244235,92
"result.93",-0.603696874235641,0.939051783348076,0.444522508920629,-0.607657364279047,0.938758309033,0.416459430257004,93
"result.94",-0.612565925152019,0.939661777269461,0.383929657695865,-0.567953126427422,0.943348621207813,0.339860881402185,94
"result.95",-0.271790029084193,0.974616872617939,0.316982444168471,-0.363323458311605,0.964249275123129,0.304522083617669,95
"result.96",-0.708682043353063,0.928347477382145,0.342864849910197,-0.614822278893941,0.937577434363552,0.349002513863338,96
"result.97",-0.381039016592555,0.962408180824861,0.380040109681154,-0.432690822007019,0.956002522750939,0.372450597642428,97
"result.98",-0.55743968978394,0.943031376184035,0.369763945324902,-0.519234693918709,0.947245128093605,0.357583971449942,98
"result.99",-0.491983450292531,0.949967307313738,0.393530110263086,-0.559978175192784,0.94362586208018,0.388680434964674,99
"result.100",-0.863606538351972,0.915222731909238,0.423584680199386,-0.626924718798162,0.937582146719462,0.383309667514984,100
"result.101",-0.629815232308392,0.938645449787779,0.366289655485896,-0.620611803585899,0.938518198627727,0.349713091619603,101
"result.102",-0.524247958095769,0.94873719420843,0.361941493106575,-0.523552579362428,0.94769093455749,0.367392165547859,102
"result.103",-0.275162549348765,0.971291050781433,0.330146264998117,-0.400425000609947,0.960808602478436,0.351848908472836,103
"result.104",-0.430703213636,0.955963825434949,0.351918051871871,-0.478168496469568,0.950811751002057,0.384899340413025,104
"result.105",-0.36600190253097,0.964000625032546,0.272976972390218,-0.475442307940189,0.952662244016576,0.322805558408901,105
"result.106",-0.423616262565621,0.958249195529491,0.348263912360221,-0.501519634658895,0.949410993321877,0.345774134843735,106
"result.107",-0.501245854323257,0.950939020935292,0.273451762143994,-0.40748642160778,0.959121370943995,0.250836990843621,107
"result.108",-0.448704196710177,0.954675837660485,0.363019781674909,-0.542538168698501,0.945203346168479,0.376113003169091,108
"result.109",-0.491981738136863,0.953293111090843,0.274935153171677,-0.369522570867337,0.963588847863756,0.276649222558359,109
"result.110",-0.493144940562839,0.951759727158413,0.373376454270244,-0.610553903438163,0.939423287913988,0.393706422721294,110
"result.111",-0.413065561288785,0.960595329700134,0.283879252984876,-0.507049115619792,0.950220673471109,0.308267717591023,111
"result.112",-0.553059794759338,0.944490607461369,0.378196434649727,-0.597943802667095,0.940065470049936,0.391712460945643,112
"result.113",-0.534747865326819,0.946033499043099,0.377224415737093,-0.596844801010896,0.940263707249354,0.382596160958868,113
"result.114",-0.744405248963913,0.928057965377625,0.35418770112926,-0.732326815016794,0.928299765677748,0.35810803007307,114
"result.115",-0.452152164125171,0.956619738931651,0.407234000148274,-0.455756215573251,0.954286771890008,0.396552108155683,115
"result.116",-0.647793139292891,0.936273195160733,0.39442905187987,-0.709182818439988,0.930017871697579,0.412612050741161,116
"result.117",-0.386323149578372,0.959643243768139,0.316882661115822,-0.505096154123455,0.949067802615467,0.3784652930126,117
"result.118",-1.00491862737604,0.902710603627391,0.412725887537374,-0.931079973012091,0.909378663730396,0.413314331828754,118
"result.119",-0.830105271308161,0.917773059264427,0.412505796055865,-0.712141155085145,0.928798404492076,0.396133549244766,119
"result.120",-0.378612265129826,0.96096807949397,0.367994326621743,-0.428523267957449,0.956562300405936,0.363195836068428,120
"result.121",-0.780359680739821,0.922723665024661,0.425141449493173,-0.680955110577854,0.932294865222726,0.419183265486337,121
"result.122",-0.534969658186433,0.948112623922133,0.338475128983998,-0.557196273672571,0.945309145185732,0.352565996482433,122
