"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.1",-0.69400357745221,0.929287568675775,0.450905408576498,3.18076340419694,-0.666928587605238,0.932096723239123,0.439527838619848,0,1
"result.2",-0.500102138573828,0.950604058321749,0.378725274455962,15.7269106974778,-0.557598775580788,0.944548770947403,0.377618372122037,0,2
"result.3",-0.435652503137359,0.95649283551551,0.342516602558887,6.17876578785942,-0.388059904450362,0.960255142831124,0.319385278273147,0,3
"result.4",-0.629958851710843,0.937738029923945,0.389833323773489,4.39802581428398,-0.553089458955502,0.94501335791104,0.38019807527608,0,4
"result.5",-0.448559505785702,0.955069329346206,0.365232257535047,6.20882629038941,-0.514827151266173,0.947820798441568,0.382753763170448,0,5
"result.6",-0.578833308799069,0.94264809722566,0.380177161489018,2.77235198573362,-0.55492012410389,0.944905842590956,0.341519356066435,0,6
"result.7",-0.490845058876614,0.952277004939655,0.32056842770965,3.41733702003491,-0.465553546555239,0.953936380649405,0.319167108219966,0,7
"result.8",-0.530747093995647,0.946262604158786,0.329441930566501,15.9099259109958,-0.45714424671033,0.953412626775035,0.34847864935799,0,8
"result.9",-0.445691639403093,0.956243912467143,0.318764291008328,5.51238060963021,-0.544088334705175,0.94618777619262,0.337401655685838,0,9
"result.11",-0.458351025592938,0.953544225044024,0.378108438334228,5.45231715666021,-0.517432951159739,0.948290180828718,0.395339776098009,0,11
"result.12",-0.497028228701587,0.950731111040653,0.338635827616535,12.0759742837005,-0.597941507554228,0.940193934909716,0.383171437515627,0,12
"result.13",-0.581019736402269,0.943013439543164,0.411837707864284,3.80156439295205,-0.637240135930367,0.936814234064285,0.406265739078517,0,13
"result.14",-0.330555574747908,0.967046026781998,0.364900778373573,2.72950582050689,-0.274090568485036,0.972549541840338,0.303268399743649,0,14
"result.15",-0.667932191912405,0.935482029837757,0.380275996128562,3.02678862698423,-0.522523237446503,0.948454839827489,0.318239499061579,0,15
"result.16",-0.56814715719161,0.942318696756288,0.378206403067118,7.86161361053674,-0.497003362964277,0.949762291414055,0.358223070271763,0,16
"result.17",-0.572611329260786,0.943493413610806,0.310183439039978,11.962760663997,-0.631331680469185,0.938357950674447,0.334272887727403,0,17
"result.19",-0.173974898970996,0.983373145094789,0.269472315093599,7.43287325056406,-0.268266296300529,0.973591294469686,0.30265005110098,0,19
"result.20",-0.488878263820514,0.952180995981764,0.38655034566068,3.12332096993995,-0.519494542500781,0.948022110325889,0.371351218497192,0,20
"result.21",-0.717098261875419,0.930002648779591,0.40794481295031,3.34399882218056,-0.465494441134269,0.95396912712985,0.33673948553422,0,21
"result.22",-0.504497564340613,0.94929695092109,0.339868265860153,4.188621545591,-0.474776276414757,0.95247325026483,0.353025763793135,0,22
"result.23",-0.769266369740566,0.924084289667624,0.440745551311081,16.1031308297031,-0.736159031103243,0.927310020639069,0.437847767485697,0,23
