"","V1","V2","V3","V4","V5"
"result.1",-0.222039976095808,0.976680677857731,0.11959265940987,3.3993482123552,1
"result.2",-0.374333030274607,0.960869159772608,0.153983015483477,3.25594006979692,2
"result.3",-0.122775266876929,0.987289787683285,0.0801162562953489,7.9999907671592,3
"result.4",-0.0939240938174379,0.990098987691729,0.0550294167277516,20.6330333936913,4
"result.6",-1.47943307849525,0.84739858021499,0.379702290611501,2.1984436275357,6
"result.10",-0.272725481318347,0.971569751474548,0.152049970896766,2.27671426122713,10
"result.11",-0.0960266364047175,0.990097511156486,0.059473614157665,11.9589094812077,11
"result.12",-0.102279716757239,0.989261423517704,0.0684420100146084,8.30427321856637,12
"result.13",-0.136415330662169,0.985620582284518,0.0921702222451413,3.47203380186407,13
"result.14",-0.197344957679744,0.979351321375784,0.144257578579965,2.10000130705396,14
"result.15",-1.57458014362131,0.836598383703499,0.546204748350561,2.10000000060122,15
"result.17",-0.339301353541219,0.964478857797304,0.137242815405435,2.17138012744511,17
"result.18",-0.377564287885605,0.960554024754831,0.161771677178147,2.34428641378604,18
"result.19",-0.372752217899474,0.960970910639347,0.177114631980244,2.29621139578671,19
"result.20",-0.417757460879737,0.956585555865466,0.202423349636429,2.20245845009314,20
"result.21",-0.107569527666247,0.988577619129279,0.0840620006978312,4.71746249319122,21
"result.23",-0.0969172336433851,0.99009898703869,0.0676729213512398,7.39825866914784,23
"result.24",-0.0963943884097377,0.990092742075913,0.0666305112507505,7.89752240336314,24
"result.25",-0.208894028071862,0.978292120258611,0.0889150460493038,3.20217285915469,25
"result.27",-0.101364206485928,0.989329030067519,0.077734896244852,3.48752304297144,27
"result.28",-0.0955292775092958,0.990098900045326,0.0570788958093804,9.46169445445144,28
"result.30",-0.419470063178415,0.956457139113049,0.206841702285564,2.35334122450596,30
"result.31",-0.295702608135778,0.969292251983527,0.150668365239938,2.25223389612711,31
"result.32",-0.0959538776419791,0.990086524815069,0.0686253766855858,3.08048571436771,32
