"","99%","99%",""
"result.1",0.0224039496307791,0.0209531263559074,1
"result.2",0.022027143450207,0.0210397922588692,2
"result.3",0.0219725542731291,0.0199396082998869,3
"result.4",0.0215626905189533,0.0201456107641353,4
"result.5",0.0215309963460912,0.0204057534140885,5
"result.6",0.0219334599923386,0.0187815042727097,6
"result.7",0.0252384836077161,0.019062702484557,7
"result.8",0.0232951948004908,0.0210306570919285,8
"result.9",0.0239340489921294,0.0200065409012589,9
"result.10",0.0232401422234633,0.0211126027327303,10
"result.11",0.0255197950385493,0.0212265185078841,11
"result.12",0.0241156574706277,0.0223900026995633,12
"result.13",0.0237205684148148,0.0226712345498243,13
"result.14",0.0235469978606204,0.020281038959877,14
"result.15",0.0232861636857682,0.0209685313241274,15
"result.16",0.023110887877439,0.0205586133182224,16
"result.17",0.022914543951517,0.0204714015685253,17
"result.18",0.0226849834640564,0.0208879883731779,18
"result.19",0.022690460444028,0.0234077254451627,19
"result.20",0.0224572388008147,0.0220694676213636,20
"result.21",0.0235587949013718,0.0223972499079614,21
"result.22",0.0226135842999529,0.0216972256848857,22
"result.23",0.0226860843645597,0.020279161526553,23
"result.24",0.0224319553616829,0.0216243347239839,24
"result.25",0.0223326164260795,0.0195347057304133,25
"result.26",0.0224960167054845,0.0191593756307138,26
"result.27",0.0231577749030588,0.0208185316605605,27
"result.28",0.0227851361221202,0.0208916957361156,28
"result.29",0.0223603020167774,0.02160221756036,29
"result.30",0.0221843285395374,0.0234698382373124,30
"result.31",0.0219240897714052,0.0219678779575767,31
"result.32",0.0226165690826853,0.0206412978072004,32
"result.33",0.0219165051227316,0.0202386359614556,33
"result.34",0.0221107408451684,0.0214786888796286,34
"result.35",0.0217861916314983,0.0213076492460388,35
"result.36",0.0224431515897625,0.019895946348101,36
"result.37",0.0218335439256129,0.0202160276502731,37
"result.38",0.0215419344692446,0.0188842919955507,38
"result.39",0.0216417506194768,0.0207386219130038,39
"result.40",0.0216559534159891,0.0195689309113464,40
"result.41",0.0212157430216262,0.0213291023832266,41
"result.42",0.0216343872049034,0.0197265514266376,42
"result.43",0.0215507319623102,0.0187954085166684,43
"result.44",0.0211866001701673,0.0206776161115511,44
"result.45",0.0219707139794269,0.018919958221033,45
"result.46",0.0212010160538807,0.0180376447920743,46
"result.47",0.0222056897770677,0.0199924945157519,47
"result.48",0.0215611843482279,0.0179262264431912,48
"result.49",0.0212893212615273,0.0189580727330357,49
"result.50",0.0212720642647048,0.0203632263078459,50
"result.51",0.0219957721617975,0.0205771421524426,51
"result.52",0.0213611732984999,0.0206406398240515,52
"result.53",0.0211444823748756,0.0193180004123555,53
"result.54",0.0209303240424805,0.0205358794870369,54
"result.55",0.0207228110789098,0.0222919568108496,55
"result.56",0.0211041762200315,0.0208247547036621,56
"result.57",0.0210701494933315,0.0188987429823595,57
"result.58",0.0206125652673242,0.0207976699683174,58
"result.59",0.0205245043449795,0.0206329753857854,59
"result.60",0.0205705595715148,0.0197276772817575,60
"result.61",0.0205376995654765,0.0178848574254869,61
"result.62",0.0203063840261549,0.0180155220859881,62
"result.63",0.0201539785637487,0.0204749284491181,63
"result.64",0.0200252319372685,0.0178739788454152,64
"result.65",0.0202872818999779,0.0196481577681666,65
"result.66",0.0198033778171616,0.0172378808372306,66
"result.67",0.0197383253232512,0.019446647689311,67
"result.68",0.0195491817091596,0.0184221361020604,68
"result.69",0.0194145043024097,0.0199943077372584,69
"result.70",0.0190586750988823,0.0189751854932722,70
"result.71",0.0190285179184098,0.0202765281929991,71
"result.72",0.0187656740116863,0.0206169064623816,72
"result.73",0.0194252600286046,0.0176443237639828,73
"result.74",0.0187569367364012,0.017895653696829,74
"result.75",0.018634050524412,0.0203047163798293,75
"result.76",0.018393329384381,0.0217399478750272,76
"result.77",0.0190284516293782,0.0239939470119058,77
"result.78",0.0184383014256113,0.0187114277846536,78
"result.79",0.0190921323263879,0.0184069160325916,79
"result.80",0.0211740117895791,0.0190690744253157,80
"result.81",0.0202918154698519,0.0188586120023362,81
"result.82",0.021383750834822,0.0199223885175283,82
"result.83",0.0210264203717478,0.0200413674950501,83
"result.84",0.0205989724839642,0.0179493211540131,84
"result.85",0.0219716759311743,0.0189191583237477,85
"result.86",0.021610886348456,0.020238744985627,86
"result.87",0.0209888488609447,0.0196161507445069,87
"result.88",0.0222537756232657,0.0199671322473334,88
"result.89",0.0212461574173177,0.0196103378541483,89
"result.90",0.0210794387584077,0.0210260518174119,90
"result.91",0.0211243980277944,0.0204809862617288,91
"result.92",0.0210159035174331,0.0199373905470297,92
"result.93",0.0207596584960656,0.0189971579496271,93
"result.94",0.0204774162528544,0.0222581228135208,94
"result.95",0.0205985956823001,0.0215456119352909,95
"result.96",0.020601746419478,0.0185055739605094,96
"result.97",0.0205808411217711,0.0227417062137815,97
"result.98",0.0210505276323845,0.0168256505598876,98
"result.99",0.0203419122303171,0.0203087108756884,99
"result.100",0.0201330442609607,0.0183370111422614,100
"result.101",0.0200144398223047,0.0190356752878453,101
"result.102",0.0197663967427011,0.0188788393717067,102
"result.103",0.0199170137038067,0.0192511036980348,103
"result.104",0.0197799638517151,0.0200287891499638,104
"result.105",0.0194378862663806,0.0206907265405526,105
"result.106",0.0197934463597436,0.0188603297916363,106
"result.107",0.0198821864045288,0.0191893350394406,107
"result.108",0.0197476889790535,0.0197677164209346,108
"result.109",0.0200367158404221,0.0198651331368719,109
"result.110",0.0194171552235391,0.0181297718664254,110
"result.111",0.0197167197148101,0.0177741074167548,111
"result.112",0.0193295071905901,0.0215643900486012,112
"result.113",0.0195405551913887,0.0203729414087772,113
"result.114",0.0191011957525583,0.019303298074476,114
"result.115",0.0199393526428535,0.0203660680531774,115
"result.116",0.0194176711980872,0.0195784474978298,116
"result.117",0.0192628528528079,0.0180414567043804,117
"result.118",0.0194588074738322,0.0191200897672196,118
"result.119",0.0191210635884394,0.0186886855524502,119
"result.120",0.0191272271237833,0.0202371632241089,120
"result.121",0.0188615815357114,0.0191677959623619,121
"result.122",0.0185769213416352,0.0196364565370838,122
"result.123",0.0189854754041219,0.0215947467748094,123
"result.124",0.0190389112923417,0.0210249433811365,124
"result.125",0.0187164228750239,0.0228051804465078,125
"result.126",0.0185714496393829,0.0210676685636965,126
"result.127",0.0184071568431706,0.0198221720836924,127
"result.128",0.0182797767259114,0.019590217443775,128
"result.129",0.0197161128066621,0.0192233381260047,129
"result.130",0.0190332478571098,0.0189070583218378,130
"result.131",0.0191019162488715,0.0184623996577658,131
"result.132",0.0187730141480596,0.0176518345179208,132
"result.133",0.0185250012102056,0.0194539076774464,133
"result.134",0.0183554741477217,0.0207871604970305,134
