"","99%","99%",""
"result.1",0.026637796461256,0.0218017173222214,1
"result.2",0.0253046593875757,0.0183549061866217,2
"result.3",0.0256112206473635,0.0211043589075462,3
"result.4",0.0252050392837421,0.021842872281615,4
"result.5",0.0249880469077646,0.0196538220435056,5
"result.6",0.0275052583884811,0.0201790067994702,6
"result.7",0.0351653481530101,0.0206207733582449,7
"result.8",0.0268667983251742,0.0222633910688871,8
"result.9",0.0293091920788272,0.0221722110428564,9
"result.10",0.0267918690366139,0.0228308591585483,10
"result.11",0.0335599852166778,0.0224186384221302,11
"result.13",0.0268373604305887,0.0219275876596497,13
"result.14",0.0269676226582419,0.022160213110783,14
"result.15",0.0265927632878176,0.0225951956728505,15
"result.16",0.0263760618020226,0.0223792485709121,16
"result.18",0.0261386202694585,0.0206555792015433,18
"result.19",0.0265973175239828,0.0196001684227855,19
"result.20",0.0259105868186295,0.0243032567319201,20
"result.21",0.0294673358193972,0.0209219768703684,21
"result.22",0.025933022508111,0.0215321307155418,22
"result.23",0.0266106586021967,0.0197383882084485,23
"result.24",0.0259131293130361,0.0245290664526069,24
"result.25",0.0263346475421334,0.0192188037693162,25
"result.26",0.0270830800871005,0.0186432853354547,26
"result.27",0.0287011675996789,0.0220656528067233,27
"result.28",0.0268895687523839,0.0191258429572995,28
"result.29",0.0256893757803739,0.0226640656271093,29
"result.30",0.025650720987872,0.0197606160587752,30
"result.31",0.0254793999598611,0.0215762045581222,31
"result.32",0.0277324095715703,0.0234875632696691,32
"result.33",0.0255781540454367,0.0220076094043695,33
"result.34",0.0263167609677862,0.0201928456254627,34
"result.35",0.0254293079334018,0.0201506053070576,35
"result.36",0.0272498950200256,0.019305550865999,36
"result.37",0.0254187894800403,0.0199767047511044,37
"result.38",0.0251836881331975,0.0211037611795839,38
"result.39",0.0258057194438882,0.0178799192725326,39
"result.40",0.0259581815237145,0.021016020102641,40
"result.41",0.0249286199587093,0.0217466252003698,41
"result.43",0.0261874023507062,0.0185601874284894,43
"result.44",0.0250564295267561,0.019653850967022,44
"result.46",0.0250488593448242,0.0202293297416194,46
"result.47",0.028209843755312,0.021002456679716,47
"result.48",0.0256569863685674,0.0185988674288459,48
"result.50",0.0254453501758923,0.0192899020717802,50
"result.51",0.0274332009969644,0.0193153017579992,51
"result.52",0.0251111445019479,0.0231271436869738,52
"result.53",0.0251075456146677,0.0220763348622192,53
"result.54",0.0247687288504751,0.019227755981576,54
"result.55",0.0246947081772169,0.0214708895703302,55
"result.56",0.0259417007559319,0.0201758944287745,56
"result.57",0.0250857919185926,0.0208986161141215,57
"result.58",0.024876001052507,0.0183106251379001,58
"result.59",0.0244898212596961,0.0186249566042222,59
