"","omega","","",""
"result.1",0.0248169005052325,0.028597573630428,0.0298707811380368,1
"result.2",0.0230698697942856,0.0282175368819892,0.0294721573613472,2
"result.3",0.0218826348463755,0.0261762693439707,0.0273314507870808,3
"result.4",0.0204404247187515,0.0249150562702098,0.026009148037069,4
"result.5",0.0194739198817906,0.023396170846901,0.0244170691204815,5
"result.6",0.0197356656621936,0.0222443119469418,0.0232099933407355,6
"result.7",0.0185811217177323,0.0226056871134617,0.0235886639940972,7
"result.8",0.0177733645168498,0.021430883227417,0.0223577295886841,8
"result.9",0.0168681825216864,0.0204427419602879,0.0213225966357626,9
"result.10",0.0159909942120616,0.0193812627129759,0.0202108741255032,10
"result.11",0.0156664837059237,0.0184770347833094,0.0192640487329285,11
"result.12",0.0167269934223332,0.0183722780921656,0.0191543695219352,12
"result.13",0.0157111320520251,0.0195050617970125,0.0203405200239146,13
"result.14",0.0174718160679249,0.0187687014408269,0.0195694346203865,14
"result.15",0.0179278670228831,0.0206512781733252,0.0215410326435617,15
"result.16",0.0262704778589559,0.0213738653989921,0.0222979946632407,16
"result.17",0.0239956383341517,0.0300168202262014,0.0313596366575624,17
"result.18",0.0273470711008401,0.0276936406422763,0.0289226754215477,18
"result.19",0.0263672772523061,0.0312092601406064,0.0326107922267269,19
"result.20",0.0248051836174369,0.0301158077258705,0.0314634904083064,20
"result.21",0.0258545311875594,0.0284175880630997,0.0296819899357033,21
"result.22",0.0245017131189442,0.0295159557054561,0.0308341718083156,22
"result.23",0.0299352605468357,0.0281215477298318,0.0293714771024653,23
"result.24",0.029175622473877,0.0341146844771956,0.0356601112216666,24
"result.25",0.0267009145732094,0.0334244103964707,0.0349355473673043,25
"result.26",0.024765464189795,0.0304888509612695,0.0318548854760294,26
"result.27",0.023282639457128,0.0284384911742634,0.029703915454256,27
"result.28",0.0229943225248043,0.0268826636076298,0.0280721794074381,28
"result.29",0.0241839889912072,0.0264497652262534,0.0276182300574348,29
"result.30",0.0235202989351949,0.0279090612187289,0.0291486112925625,30
"result.31",0.0219352004355049,0.0271540196283624,0.028356746712582,31
"result.32",0.0226826303810071,0.0252069102165748,0.0263151139229549,32
"result.33",0.0212217644631595,0.0262256268055054,0.0273832045520734,33
"result.34",0.0225186600486042,0.0245506325655285,0.0256271247419662,34
"result.35",0.0334484078148355,0.0261062174443296,0.0272579985781718,35
"result.36",0.0330960041881522,0.0374894453411869,0.039203385603308,36
"result.37",0.030249435408095,0.0369678755732465,0.0386556807305354,37
"result.38",0.0281026061559044,0.033769047088704,0.0352972962630886,38
"result.39",0.0257465373268425,0.0313590781459894,0.0327680017158585,39
"result.40",0.0239640562716507,0.0288686201523589,0.0301550978419058,40
"result.41",0.0224469226301322,0.0270207969863989,0.0282170364608234,41
"result.42",0.021137176221489,0.0253261007755228,0.0264400719904145,42
"result.43",0.022213523432982,0.0237489071581294,0.024786765468356,43
"result.44",0.0208284038635852,0.0249429732126671,0.02603841418766,44
"result.45",0.019697190455829,0.0233710024665683,0.0243906915071577,45
"result.46",0.0188318133755934,0.0221148105371256,0.0230743002769245,46
