"","1993-11-04","","","1993-11-04","","","","","","",""
"result.1",-0.0120152212457043,0.0228157180021995,0,3.48309392479e-06,0.0148809751169579,0,2.68961963626592e-06,0.0183546477999409,0,3.03698690456418e-06,1
"result.2",0.00453628022955499,0.0242621765685485,0,1.97258963389913e-06,0.0148809751169579,0,1.03446948874018e-06,0.019519572060745,0,1.49832918311884e-06,2
"result.3",0.00139160256729198,0.0252684663710241,0,2.38768638037295e-06,0.0148809751169579,0,1.34893725496644e-06,0.0194757291610919,0,1.80841265937979e-06,3
"result.4",0.000260707853102282,0.0251624546036524,0,2.49017467505474e-06,0.0148809751169579,0,1.4620267263854e-06,0.019266217653721,0,1.90055098006166e-06,4
"result.5",0.00733732861393577,0.0248748664709879,0,1.75375378570502e-06,0.0148809751169579,0,7.5436465030213e-07,0.0190210190370288,0,1.16836904230917e-06,5
"result.6",-0.00233167768609377,0.0247244920000398,0,2.70561696861306e-06,0.0148809751169579,0,1.72126528030498e-06,0.0192627601965835,0,2.15944378826749e-06,6
"result.7",0.00592654970280027,0.0248992437502906,0,1.89726940474883e-06,0.0148809751169579,0,8.95442541415665e-07,0.0190770912345198,0,1.31505415317181e-06,7
"result.8",-0.00353018205373612,0.024761575233704,0,2.8291757287437e-06,0.0148809751169579,0,1.8411157170692e-06,0.0191654794170448,0,2.26956614707784e-06,8
"result.9",0.00642672209988771,0.0248512639868395,0,1.84245418869497e-06,0.0148809751169579,0,8.45425301706926e-07,0.0190852908270057,0,1.26585687271166e-06,9
"result.10",-0.00414362038815241,0.0247665482012351,0,2.89101685893844e-06,0.0148809751169579,0,1.90245955051082e-06,0.0192112036367484,0,2.33548240248983e-06,10
"result.11",-0.00256347524452671,0.0248681266214064,0,2.74316018659301e-06,0.0148809751169579,0,1.74444503614827e-06,0.0191307712889182,0,2.16942465334425e-06,11
"result.12",-0.00220247762134562,0.0247273433519197,0,2.69298209732624e-06,0.0148809751169579,0,1.70834527383016e-06,0.0189471700879864,0,2.11496477093297e-06,12
"result.13",-0.00752935751638883,0.0245030049006019,0,3.20323624169872e-06,0.0148809751169579,0,2.24103326333443e-06,0.0187556907282294,0,2.62850482446154e-06,13
"result.14",0.00412970938103641,0.0244588926147955,0,2.03291832337569e-06,0.0148809751169579,0,1.07512657359203e-06,0.0190695818523598,0,1.49398724713217e-06,14
"result.15",0.0028806613516581,0.0246843951802518,0,2.18037338285913e-06,0.0148809751169579,0,1.20003137652985e-06,0.018982292477325,0,1.61016311256651e-06,15
"result.16",0.00151285502014442,0.0245706925148497,0,2.30578374947027e-06,0.0148809751169579,0,1.3368120096812e-06,0.0188328421382597,0,1.73199871181134e-06,16
"result.17",-0.00250822655722249,0.0243464076001842,0,2.68546341574038e-06,0.0148809751169579,0,1.73892016741785e-06,0.0186129879322474,0,2.11212144894676e-06,17
"result.18",-0.000238142667264185,0.024102262562586,0,2.43404052298475e-06,0.0148809751169579,0,1.51191177842204e-06,0.0184427872247727,0,1.86809298920349e-06,18
