"","V1","V2","V3","V4"
"result.1",0.00992888312272103,0.0122025752199093,0.0123405129043093,1
"result.2",0.0114784339038844,0.011467455639611,0.0115940371282264,2
"result.3",0.0110394021903769,0.0131307647572996,0.0132833116382969,3
"result.4",0.013579170688753,0.0127676963164376,0.0129144939976342,4
"result.5",0.0145800210843859,0.0155401401923498,0.0157318804920195,5
"result.6",0.0141884911662331,0.0167498030038828,0.0169618439031964,6
"result.7",0.0141810486510802,0.0163951098468047,0.0166011580941259,7
"result.8",0.0139583854864736,0.0163543986320818,0.0165597611481516,8
"result.9",0.0130117766839992,0.0161083620982438,0.016309589738718,9
"result.10",0.0120634811182124,0.0150829189636212,0.0152670899537313,10
"result.11",0.0112044423759761,0.0139920462631764,0.0141584019643304,11
"result.12",0.0111315298469468,0.0129885531021827,0.0131388428532446,12
"result.13",0.0103716252807373,0.01284637041298,0.01299441018012,13
"result.14",0.00974723834909645,0.0119528302392169,0.0120868879198568,14
"result.15",0.00917793001992628,0.0111808741888737,0.0113030826644192,15
"result.16",0.0103078469592491,0.0105257940637173,0.0106381262816981,16
"result.17",0.00980721149753768,0.011740652191186,0.0118714310896664,17
"result.18",0.0104247941639796,0.0112647006135447,0.0113881849887676,18
"result.19",0.0103078710528467,0.011946846795432,0.0120808117911153,19
"result.20",0.00977563083150676,0.0118253690497525,0.0119574551177735,20
"result.21",0.00987609656592278,0.0112188463038123,0.0113416324097457,21
"result.22",0.00951091566422276,0.0112903200120584,0.0114141948685003,22
"result.23",0.0115937026425401,0.0109390663521438,0.0110576095221049,23
"result.24",0.0129105347861856,0.013247062570791,0.013401460207767,24
"result.25",0.0120054391502495,0.0148419600663843,0.0150221658341465,25
"result.26",0.0111558210792831,0.0138746573692359,0.0140391172594789,26
"result.27",0.0116424237904266,0.0128978280906367,0.0130466813782775,27
"result.28",0.0116967704455343,0.0133846118247121,0.0135412040701013,28
"result.29",0.0123055177394314,0.0134812160242959,0.0136393532305661,29
"result.30",0.0113145457311307,0.0141457534053373,0.0143145978435584,30
"result.31",0.0141941448191315,0.0131210595447229,0.0132734521770672,31
"result.32",0.0154659954316354,0.0162490322373188,0.016452622009588,32
"result.33",0.0162567022197903,0.0177571386784976,0.0179863727412695,33
"result.34",0.0149261519345011,0.0186918153795474,0.0189372227016449,34
"result.35",0.0141854518824704,0.0172631086028119,0.0174838789781617,35
"result.36",0.0141066862616558,0.0163968597274291,0.016602937459119,36
"result.37",0.0173236916776582,0.0162948569788952,0.0164992173726617,37
"result.38",0.0191451755350459,0.019771005315441,0.0200353360731853,38
"result.39",0.0173890172674955,0.0218437652364472,0.0221451415480587,39
"result.40",0.0267826254541319,0.0201408523066746,0.0204117273133946,40
"result.41",0.0240593041147371,0.0300247094123662,0.0304799269909566,41
"result.42",0.0217615971386107,0.0274625226133125,0.0278683809405678,42
"result.43",0.0231597626032406,0.0249480430835334,0.0253064635071567,43
"result.44",0.0303360930037323,0.0263096214061491,0.0266936003093221,44
"result.45",0.0352126852462397,0.0338837361821689,0.0344150528865939,45
"result.46",0.0375550630904267,0.0392670125612185,0.0399076154493727,46
"result.47",0.0334276980268082,0.0417582667996399,0.0424505518359055,47
"result.48",0.0315926346111621,0.0377333020577666,0.0383424240963635,48
"result.49",0.0297269144253102,0.0356482702815626,0.0362150287457936,49
"result.50",0.0277186830206045,0.0336404389345191,0.0341668995003843,50
