"","V1","V2","V3"
"result.1",0.0207353318953863,0.0222615106640163,1
"result.2",0.0188275681226763,0.0221399705537593,2
"result.3",0.0208092167707213,0.0215660344761019,3
"result.4",0.0185582733520203,0.0217370525781106,4
"result.5",0.0206433897451378,0.0211634486287338,5
"result.6",0.018329786776423,0.0213860804063799,6
"result.7",0.0190610100460421,0.0208426686048639,7
"result.8",0.017449019659441,0.0206586398808852,8
"result.9",0.0167760613596617,0.0200059882828398,9
"result.10",0.0172285687776947,0.0193730349303607,10
"result.11",0.018303993362626,0.0191740776877012,11
"result.12",0.016270980621658,0.0192798858292704,12
"result.13",0.0165995995207893,0.0187516478548631,13
"result.14",0.0171654980730228,0.0184811054026213,14
"result.15",0.0164492677301811,0.0185300706249407,15
"result.16",0.0155405415472578,0.0182922445410512,16
"result.17",0.0151427829862795,0.0178413779365982,17
"result.18",0.0194540688329724,0.0174978332426221,18
"result.19",0.0159426419894351,0.0187082039390774,19
"result.20",0.0232243849948725,0.0183488035580766,20
"result.21",0.0176154035637975,0.0206165173586967,21
"result.22",0.0169760261604244,0.0200791062800576,22
"result.23",0.0180128980850233,0.0195569907396234,23
"result.24",0.0166831038470158,0.0195039498011838,24
"result.25",0.0162447517108742,0.019034821175218,25
"result.26",0.0163674158164831,0.0185841433535856,26
"result.27",0.0160213723528898,0.0183181108561215,27
"result.28",0.0151678691554284,0.0180229239966039,28
"result.29",0.0149415083291251,0.0175544891340778,29
"result.30",0.0145825667625979,0.0171819440017131,30
"result.31",0.0142394456175163,0.0168031736294196,31
"result.32",0.0145188352425232,0.0164547147775309,32
"result.33",0.0150157848926917,0.0163220328305655,33
"result.34",0.0138980932173835,0.0163701380186367,34
"result.35",0.0135412206030984,0.0160463329295695,35
"result.36",0.0132279140973044,0.0156494688243569,36
"result.37",0.0129685600177017,0.0153213776899221,37
"result.38",0.0181878257233913,0.0152290965299287,38
"result.39",0.0146177354955481,0.0169311803430574,39
"result.40",0.0141579504296209,0.0166371135349053,40
"result.41",0.0139641291718411,0.0162959469024671,41
"result.42",0.0149623027234128,0.0160121936633075,42
"result.43",0.0138433241866384,0.0162146193751553,43
"result.44",0.0166063229002703,0.0159303634001375,44
"result.45",0.0140916862715152,0.0167283160073097,45
"result.46",0.0138089777870095,0.0163674663439295,46
"result.47",0.014399866530119,0.0160187191057943,47
"result.48",0.0234343300142278,0.0161751874527098,48
"result.49",0.0167268465696988,0.0197987648682769,49
"result.50",0.0230850303896966,0.019327959683757,50
"result.51",0.022361049222362,0.0214325284094272,51
"result.52",0.0185992215056252,0.0221635754977783,52
"result.53",0.0179143532909782,0.0212799817300393,53
"result.54",0.0177994781662576,0.0206098802253436,54
"result.55",0.0252181211400468,0.0201212983288954,55
"result.56",0.0191038144132242,0.0227100998243728,56
"result.57",0.0186866735688542,0.0217870854886613,57
"result.58",0.018680305877309,0.0211054428760988,58
"result.59",0.0246783106642238,0.0207316752892908,59
"result.60",0.0200320513992506,0.0227964764242827,60
"result.61",0.0192641968690493,0.0221845610981362,61
"result.62",0.0216915992180464,0.0215750676035711,62
"result.63",0.0202115150226479,0.0220641484907489,63
"result.64",0.0344659274724969,0.0219432774613821,64
"result.65",0.0238842567184368,0.0279924395128788,65
"result.66",0.0293658775991246,0.0268360092702764,66
"result.67",0.0239601845290349,0.0283966537822877,67
"result.68",0.0228724724312066,0.0269045278764324,68
"result.69",0.0231502852284463,0.025663165166911,69
"result.70",0.0209333827171291,0.0249642736381404,70
"result.71",0.0215225530214133,0.0237493898157695,71
"result.72",0.019521936944904,0.0232187420371233,72
"result.73",0.0220551596326636,0.0219245685087586,73
"result.74",0.019071256794502,0.0224235741786671,74
"result.75",0.0180492317637707,0.0214767741433448,75
"result.76",0.0171610493551023,0.0204703956834962,76
"result.77",0.017326426213367,0.0195434267765009,77
"result.78",0.0167311163754666,0.0198245280513518,78
"result.79",0.0167232878697374,0.0191323779113404,79
"result.80",0.0166996506797271,0.0186076506565271,80
"result.81",0.0183047951742642,0.0185047072073345,81
"result.82",0.0159949921348676,0.0189704314854922,82
"result.83",0.015484595149462,0.0183507054939795,83
"result.84",0.0150251018946959,0.0178395901662398,84
"result.85",0.0155445704017499,0.017377577578408,85
"result.86",0.0148361007769859,0.0172761186063255,86
"result.87",0.0146779167246077,0.0169956396601449,87
"result.88",0.014138526430303,0.0167861170731172,88
"result.89",0.0150726157207211,0.0164086148334874,89
"result.90",0.0139714593125967,0.0165326122175955,90
"result.91",0.0149476574685526,0.0162590087678396,91
"result.92",0.0158013266673964,0.0164522955990307,92
"result.93",0.0148483218781545,0.0168266272325965,93
"result.94",0.0148182845989536,0.0167312510513327,94
"result.95",0.0140277895361129,0.0166111037910142,95
"result.96",0.016812002370778,0.01630991446428,96
"result.97",0.0284159350086881,0.017393626678448,97
"result.98",0.0192681851629557,0.0227542110612475,98
"result.99",0.0186902262075554,0.0218708454566112,99
"result.100",0.0178773352546495,0.0211011274219359,100
"result.101",0.0180879319846641,0.0202282945771586,101
"result.102",0.0185896547933323,0.0198632290174956,102
"result.103",0.0166352840100314,0.0198312046312807,103
"result.104",0.0181185729725821,0.0191153895797882,104
"result.105",0.0174681700018901,0.0192137322767749,105
"result.106",0.0165782166708352,0.0190387901350348,106
"result.107",0.0156498024036645,0.0186243135279867,107
"result.108",0.0210265368473374,0.0180930399375328,108
"result.109",0.0166141449439793,0.0198089443484903,109
"result.110",0.0189110629800258,0.019098834248787,110
"result.111",0.0184512163047937,0.0195132926801378,111
"result.112",0.0221477414488943,0.0196075940728733,112
"result.113",0.0180581601532931,0.0210860639470596,113
"result.114",0.0185293370482918,0.0203370571451487,114
"result.115",0.0168821673233824,0.0200271020104097,115
"result.116",0.0187223045784939,0.0192820877090227,116
"result.117",0.0164586381514345,0.0195483358613942,117
"result.118",0.0165639187039676,0.0188583796017312,118
"result.119",0.0155889888772535,0.0184976228158362,119
"result.120",0.015078162286068,0.0179234729888194,120
"result.121",0.0155230377060014,0.0174621685042595,121
"result.122",0.0146044651288764,0.017351107473921,122
"result.123",0.0315837912929888,0.0173173567003531,123
"result.124",0.0235505242435249,0.0236723163656123,124
"result.125",0.0209022227599115,0.0237822166144284,125
"result.126",0.0210682088559203,0.0227334788048594,126
"result.127",0.0225972158056434,0.0223384294339368,127
"result.128",0.0264177720640879,0.0226329426423533,128
"result.129",0.0234393438476671,0.0241980758673108,129
"result.130",0.0201983875442345,0.0239700741033388,130
"result.131",0.0193061062962414,0.0226966197632592,131
"result.132",0.0187623555179688,0.0216047540773658,132
"result.133",0.0175463946378493,0.0207460980544525,133
"result.134",0.0178119292013601,0.0198457698700807,134
"result.135",0.0198036254619068,0.0195718525834465,135
"result.136",0.0181152016952789,0.0200578624811172,136
"result.137",0.0177803724001833,0.0196942646555769,137
"result.138",0.0170874836593694,0.019431357458636,138
"result.139",0.0160857609305435,0.0190089041889152,139
"result.140",0.0188317181011392,0.0184727789910752,140
"result.141",0.0162318029875675,0.0191117669013821,141
"result.142",0.0156276280952834,0.0185188338216236,142
"result.143",0.0152381409254937,0.0179753585354874,143
"result.144",0.0157799086616827,0.0176068285728164,144
"result.145",0.0150289725292113,0.0175274824619507,145
"result.146",0.0148505411702965,0.0172657020788662,146
"result.147",0.0144440326486137,0.0170352727018255,147
"result.148",0.017534431942679,0.0168154128506828,148
"result.149",0.0279274237284074,0.0179275380607251,149
"result.150",0.0191663409525026,0.0227483524569791,150
"result.151",0.0216807887056892,0.0216197114969603,151
"result.152",0.0307670352144138,0.0221466090156142,152
"result.153",0.0232212925002983,0.0262100016278239,153
"result.154",0.0208091980793671,0.0247396913652054,154
"result.155",0.0196746830605629,0.0231298870805787,155
"result.156",0.0237573748575548,0.0219560937775114,156
"result.157",0.0238789289897464,0.0229744217742862,157
"result.158",0.0206045761824633,0.0234663258567096,158
"result.159",0.0187679188259953,0.0223399689696677,159
