"","omega","","",""
"result.1",0.0213081788661078,0.0242434362078043,0.0242327324356708,1
"result.2",0.0218464067283975,0.0246287197255768,0.0246178458460875,2
"result.3",0.0202021264191984,0.0235112690702906,0.0235008885588641,3
"result.4",0.0185040026027447,0.0150389401271198,0.0150323002520238,4
"result.5",0.0170444084320554,0.0143512718722363,0.0143449356110423,5
"result.6",0.0161824788227384,0.0148008254683631,0.0147942907237919,6
"result.7",0.0183265868550669,0.0149733607957288,0.0149667498747093,7
"result.8",0.017433034767428,0.0164865456890411,0.0164792666784805,8
"result.9",0.0169355672928812,0.0111796107497426,0.0111746748155426,9
"result.10",0.022589157616851,0.013767624601762,0.0137615460279434,10
"result.11",0.0204577780257218,0.0198842350226087,0.0198754558908618,11
"result.12",0.0187778196694264,0.0195577497390573,0.0195491147545326,12
"result.13",0.0174134083279954,0.0194269868205126,0.0194184095694041,13
"result.14",0.0382207371420562,0.0196525843971855,0.0196439075420116,14
"result.15",0.0354248351161202,0.0332819439091097,0.0332672495258421,15
"result.16",0.0392002351582715,0.0299516144791525,0.0299383904768504,16
"result.17",0.0370887514204458,0.0377596031604455,0.0377429318361138,17
"result.18",0.0333771730983848,0.0380670060013202,0.0380501989548989,18
"result.19",0.0392158178127059,0.0370734110884783,0.0370570427263104,19
"result.20",0.0367102787361512,0.0438165613929655,0.0437972158478814,20
"result.21",0.0330665764787479,0.0445946164801896,0.0445749274142955,21
"result.22",0.0300623173556942,0.0445384187475426,0.0445187544936303,22
"result.23",0.0295330482878045,0.031215890670758,0.031202108475135,23
"result.24",0.0268312836619773,0.0322573137067153,0.0322430717101483,24
"result.25",0.0245778003514743,0.0276934135495921,0.0276811865704829,25
"result.26",0.0238231825139465,0.0255240159781707,0.025512746814492,26
"result.27",0.0218656113508985,0.0256205238913267,0.0256092121182334,27
"result.28",0.0395893828954873,0.0164631223383296,0.0164558536694628,28
"result.29",0.0401123511995561,0.0322052878386145,0.0321910688120894,29
"result.30",0.0410814477480492,0.0336979151050443,0.0336830370654226,30
"result.31",0.0431880159348404,0.0338574312445203,0.0338424827765849,31
"result.32",0.0770652150891687,0.0354553605094949,0.0354397065363443,32
"result.33",0.0697330259904532,0.0549997290433524,0.0549754459936409,33
"result.34",0.0629974215350042,0.054365444237952,0.054341441232701,34
"result.35",0.0625992511323817,0.0515298549522427,0.0515071038941741,35
"result.36",0.0720897620538965,0.046768157391945,0.0467475086812996,36
"result.37",0.0677957556495855,0.0706519599389921,0.0706207662388536,37
"result.38",0.0612609334828682,0.0751220868964921,0.0750889195808995,38
"result.39",0.0557773260313621,0.0748300832142732,0.0747970448218567,39
"result.40",0.0516448689303627,0.0742868477229095,0.0742540491755861,40
"result.41",0.0471000534965984,0.0498415596519877,0.0498195539968478,41
"result.42",0.0425757502831323,0.0497230571338392,0.0497011037989878,42
"result.43",0.0386619232684291,0.0496393622049922,0.0496174458224843,43
"result.44",0.0356050321787193,0.0416208961003477,0.0416025199682011,44
"result.45",0.0321333518575966,0.0232276048495876,0.0232173495793759,45
"result.46",0.0305219628675754,0.0151747642587239,0.0151680644156258,46
"result.47",0.027581107007772,0.0164508663263589,0.016443603068673,47
"result.48",0.0248411815683264,0.0145121227268206,0.0145057154480313,48
"result.49",0.0233050732033853,0.0125713316895926,0.0125657812936666,49
"result.50",0.0255146526357902,0.0125329960008642,0.0125274625306062,50
"result.51",0.028042289125523,0.0154974736396056,0.0154906313163892,51
"result.52",0.0260597848259449,0.0160844387565575,0.0160773372810965,52
"result.53",0.0243878216851903,0.0160724091229341,0.0160653129587089,53
"result.54",0.0272377203330559,0.0188306817462305,0.0188223677710724,54
"result.55",0.0270456321154919,0.0205967385766783,0.0205876448659339,55
"result.56",0.0245626046697567,0.0193346157917418,0.0193260793235694,56
"result.57",0.0234789057548149,0.0186715933621358,0.0186633496264292,57
"result.58",0.0215766444218352,0.0186188862451715,0.0186106657802938,58
"result.59",0.0201658404758146,0.0197397828540389,0.0197310674996842,59
"result.60",0.0183913583129921,0.0174125498070836,0.0174048619544394,60
"result.61",0.0168606482158882,0.0177468789311703,0.017739043468147,61
"result.62",0.0154562233419652,0.0160103334429706,0.0160032646859136,62
"result.63",0.0164058534961089,0.0120334780663072,0.0120281651393057,63
"result.64",0.0150585025362956,0.0116286386533275,0.0116235044678419,64
"result.65",0.0138430369226042,0.0115648566874498,0.0115597506624781,65
"result.66",0.0135618190236013,0.00890161103712472,0.00889768086752696,66
"result.67",0.0125630136420651,0.00922281367440547,0.00921874168992787,67
"result.68",0.0123705337431588,0.00765363893328441,0.00765025975855593,68
"result.69",0.0115540794804548,0.00916198727170325,0.00915794214282784,69
"result.70",0.0113200724012721,0.00942128407961462,0.00941712446803677,70
"result.71",0.0108548124820558,0.0101498137148113,0.0101453324485377,71
"result.72",0.0103635291359454,0.00718486426766418,0.00718169206265173,72
"result.73",0.0111657698263423,0.00722744559711685,0.00722425459192522,73
"result.74",0.0105117785782781,0.00887270129646112,0.0088687838908541,74
"result.75",0.0133029129159981,0.00773739390208306,0.00773397774852214,75
"result.76",0.0123102910817211,0.0111251111203146,0.0111201992483601,76
"result.77",0.0130685769956256,0.0102076157116002,0.0102031089250332,77
"result.78",0.0124725012863402,0.0118925471333498,0.0118872964290588,78
"result.79",0.0117130024718763,0.0114120034774388,0.0114069649390203,79
"result.80",0.0109745440982255,0.011373491352181,0.0113684698173344,80
"result.81",0.0107183488486399,0.0110010525310784,0.0109961954325044,81
"result.82",0.0102142493576566,0.0108846203558741,0.0108798146635323,82
"result.83",0.00965032061856896,0.0109671409756444,0.010962298849428,83
"result.84",0.00923237964619545,0.00732541670806341,0.00732218244744587,84
"result.85",0.01060884637925,0.00748928337491606,0.00748597676516027,85
"result.86",0.0100995882304056,0.00721173370055084,0.00720854963235951,86
"result.87",0.00955533837328662,0.00636418307639275,0.00636137321210839,87
"result.88",0.0109440221417382,0.00581115951946032,0.00580859382181842,88
"result.89",0.0104851162901122,0.00664604606188135,0.00664311175166432,89
"result.90",0.0100710095020782,0.00660051987420474,0.00659760566434642,90
"result.91",0.00960746584275415,0.00751130141893697,0.00750798508794759,91
"result.92",0.0137188364841377,0.00733712912998641,0.00733388969818094,92
"result.93",0.0126581802299145,0.009593625294265,0.00958938959194455,93
"result.94",0.0118083085108447,0.0096067224092522,0.00960248092439286,94
"result.95",0.0111919186328604,0.0101227013920564,0.0101182320961968,95
"result.96",0.0107635233132724,0.0100067554074954,0.0100023373031988,96
"result.97",0.0105243579324136,0.00995718199836659,0.00995278578134418,97
"result.98",0.0100703356946304,0.0100376212689426,0.0100331895369905,98
"result.99",0.00998315567948648,0.00998676476053362,0.00998235548235726,99
"result.100",0.00943923018425158,0.0106325711963038,0.0106278767867209,100
"result.101",0.00905078766706683,0.00539865934214134,0.00539627576834079,101
"result.102",0.00869241199529603,0.00559755063238043,0.00559507924564429,102
"result.103",0.00842334895551842,0.00556710345434652,0.00556464551042524,103
"result.104",0.00854891669356226,0.00525366638822078,0.00525134683056905,104
"result.105",0.00825574486637193,0.0053047528003205,0.00530241068739912,105
"result.106",0.00815996878518166,0.00412843815899322,0.00412661540330106,106
"result.107",0.00891771885115523,0.00455416336325953,0.0045521526447132,107
"result.108",0.00849545473963318,0.00514764609354046,0.00514537334515097,108
"result.109",0.00914789334809455,0.00508993336138275,0.00508768609386578,109
"result.110",0.00866877132268042,0.00627091913286648,0.00626815044575579,110
"result.111",0.00834492606181924,0.00616300943024584,0.00616028838658877,111
"result.112",0.00860177557359652,0.00623191749077279,0.00622916602335266,112
"result.113",0.00846594554543053,0.00622369067023243,0.00622094283506414,113
"result.114",0.00823139029219973,0.00613384705706466,0.00613113888893935,114
"result.115",0.00795847399896134,0.00610766507026739,0.00610496846181974,115
"result.116",0.0090128028719545,0.00357464825408016,0.0035730700033767,116
"result.117",0.00853992464661524,0.00630645524760354,0.0063036708708708,117
"result.118",0.00963335968980399,0.00565617128302875,0.00565367401457451,118
"result.119",0.00919857587297682,0.00734449888974353,0.00734125620409287,119
"result.120",0.00938818699560582,0.00741533081257018,0.00741205685377366,120
"result.121",0.00909991283486316,0.00753688947074949,0.00753356184232956,121
"result.122",0.00866823090175118,0.00754509961355865,0.00754176836024811,122
"result.123",0.0147490791291512,0.00743699129758824,0.00743370777542651,123
"result.124",0.0139628059183389,0.0119286861228929,0.0119234194627964,124
"result.125",0.0134169830793169,0.0124508047127492,0.0124453075309461,125
"result.126",0.0200549582905809,0.0131526885218207,0.0131468814497779,126
